;%h;%l;%u;%t;%r;%>s;%b;%{Referr}i;%{Useragent}i
891;66.249.66.194;-;-;22/Jan/2019:03:59:09 +0330;GET /m/filter/b1,b103,b125,b126,b183,b186,b188,b192,b194,b198,b20,b202,b209,b215,b216,b218,b226,b231,b236,b238,b249,b256,b261,b270,b3,b32,b35,b36,b41,b481,b50,b523,b542,b548,b570,b573,b596,b598,b6,b613,b619,b647,b651,b67,b701,b723,b74,b795,b874,b880,b882,b883,b890,b95,b99,stexists HTTP/1.1;200;27095;-;"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
892;5.115.54.117;-;-;22/Jan/2019:03:59:09 +0330;GET /image/879/brand HTTP/1.1;200;3348;https://www.zanbil.ir/m/browse/fryer/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86;"Mozilla/5.0 (Android 8.0.0; Mobile; rv:62.0) Gecko/62.0 Firefox/62.0"
893;5.115.54.117;-;-;22/Jan/2019:03:59:09 +0330;GET /image/103/brand HTTP/1.1;200;2780;https://www.zanbil.ir/m/browse/fryer/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86;"Mozilla/5.0 (Android 8.0.0; Mobile; rv:62.0) Gecko/62.0 Firefox/62.0"
894;5.115.54.117;-;-;22/Jan/2019:03:59:09 +0330;GET /image/58/brand HTTP/1.1;200;2349;https://www.zanbil.ir/m/browse/fryer/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86;"Mozilla/5.0 (Android 8.0.0; Mobile; rv:62.0) Gecko/62.0 Firefox/62.0"
895;5.115.54.117;-;-;22/Jan/2019:03:59:09 +0330;GET /image/2/productTypeType HTTP/1.1;200;11100;https://www.zanbil.ir/m/browse/fryer/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86;"Mozilla/5.0 (Android 8.0.0; Mobile; rv:62.0) Gecko/62.0 Firefox/62.0"
896;5.115.54.117;-;-;22/Jan/2019:03:59:09 +0330;GET /image/41/brand HTTP/1.1;200;2946;https://www.zanbil.ir/m/browse/fryer/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86;"Mozilla/5.0 (Android 8.0.0; Mobile; rv:62.0) Gecko/62.0 Firefox/62.0"
897;5.115.54.117;-;-;22/Jan/2019:03:59:09 +0330;GET /image/27/productTypeType HTTP/1.1;200;11079;https://www.zanbil.ir/m/browse/fryer/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86;"Mozilla/5.0 (Android 8.0.0; Mobile; rv:62.0) Gecko/62.0 Firefox/62.0"
898;5.115.54.117;-;-;22/Jan/2019:03:59:09 +0330;GET /image/63600/productModel/200x200 HTTP/1.1;200;5681;https://www.zanbil.ir/m/browse/fryer/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86;"Mozilla/5.0 (Android 8.0.0; Mobile; rv:62.0) Gecko/62.0 Firefox/62.0"
899;5.115.54.117;-;-;22/Jan/2019:03:59:09 +0330;GET /image/60765/productModel/200x200 HTTP/1.1;200;6023;https://www.zanbil.ir/m/browse/fryer/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86;"Mozilla/5.0 (Android 8.0.0; Mobile; rv:62.0) Gecko/62.0 Firefox/62.0"
900;95.81.118.56;-;-;22/Jan/2019:03:59:09 +0330;GET /static/bundle-bundle_site_head.css HTTP/1.1;200;55531;https://www.zanbil.ir/filter/b1,p62;"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
901;130.185.74.243;-;-;22/Jan/2019:03:59:09 +0330;GET /filter/stexists,p8391,b80?page=8 HTTP/1.1;200;31013;-;"Mozilla/5.0 (Windows NT 6.1; rv:42.0) Gecko/20100101 Firefox/42.0"
902;204.18.198.248;-;-;22/Jan/2019:03:59:09 +0330;GET /settings/logo HTTP/1.1;200;4120;https://www.zanbil.ir/m/product/3597/2542/%D8%A2%D8%A8-%D9%BE%D8%B1%D8%AA%D9%82%D8%A7%D9%84-%DA%AF%DB%8C%D8%B1%DB%8C-%D8%AA%D9%81%D8%A7%D9%84-%D9%85%D8%AF%D9%84-8309;"Mozilla/5.0 (iPhone; CPU iPhone OS 12_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1"
903;95.81.118.56;-;-;22/Jan/2019:03:59:09 +0330;GET /image/%7B%7BbasketItem.id%7D%7D?type=productModel&wh=50x50 HTTP/1.1;200;5;https://www.zanbil.ir/filter/b1,p62;"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
904;5.115.54.117;-;-;22/Jan/2019:03:59:10 +0330;GET /image/180/brand HTTP/1.1;200;2566;https://www.zanbil.ir/m/browse/fryer/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86;"Mozilla/5.0 (Android 8.0.0; Mobile; rv:62.0) Gecko/62.0 Firefox/62.0"
905;5.115.54.117;-;-;22/Jan/2019:03:59:10 +0330;GET /image/185/brand HTTP/1.1;200;2299;https://www.zanbil.ir/m/browse/fryer/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86;"Mozilla/5.0 (Android 8.0.0; Mobile; rv:62.0) Gecko/62.0 Firefox/62.0"
906;5.115.54.117;-;-;22/Jan/2019:03:59:10 +0330;GET /image/3/brand HTTP/1.1;200;2885;https://www.zanbil.ir/m/browse/fryer/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86;"Mozilla/5.0 (Android 8.0.0; Mobile; rv:62.0) Gecko/62.0 Firefox/62.0"
907;204.18.198.248;-;-;22/Jan/2019:03:59:10 +0330;GET /image/3597?name=1.jpg&wh=max HTTP/1.1;200;32137;https://www.zanbil.ir/m/product/3597/2542/%D8%A2%D8%A8-%D9%BE%D8%B1%D8%AA%D9%82%D8%A7%D9%84-%DA%AF%DB%8C%D8%B1%DB%8C-%D8%AA%D9%81%D8%A7%D9%84-%D9%85%D8%AF%D9%84-8309;"Mozilla/5.0 (iPhone; CPU iPhone OS 12_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1"
908;89.47.79.75;-;-;22/Jan/2019:03:59:10 +0330;GET /image/1218/mainSlide HTTP/1.1;200;91935;https://www.zanbil.ir/;"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
909;89.47.79.75;-;-;22/Jan/2019:03:59:10 +0330;GET /image/8727/specialSale HTTP/1.1;200;36325;https://www.zanbil.ir/;"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
910;91.99.72.15;-;-;22/Jan/2019:03:59:10 +0330;GET /product/29146?model=58399 HTTP/1.1;200;41191;-;"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.92 Safari/537.36"
911;89.47.79.75;-;-;22/Jan/2019:03:59:10 +0330;GET /image/8712/specialSale HTTP/1.1;200;36301;https://www.zanbil.ir/;"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
912;89.47.79.75;-;-;22/Jan/2019:03:59:10 +0330;GET /image/8739/specialSale HTTP/1.1;200;36441;https://www.zanbil.ir/;"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
913;89.47.79.75;-;-;22/Jan/2019:03:59:10 +0330;GET /image/1210/mainSlide HTTP/1.1;200;111160;https://www.zanbil.ir/;"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
914;89.47.79.75;-;-;22/Jan/2019:03:59:10 +0330;GET /image/1215/mainSlide HTTP/1.1;200;90970;https://www.zanbil.ir/;"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
915;89.47.79.75;-;-;22/Jan/2019:03:59:10 +0330;GET /static/bundle-bundle_site_defer.min.js HTTP/1.1;200;185207;https://www.zanbil.ir/;"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
916;89.47.79.75;-;-;22/Jan/2019:03:59:10 +0330;GET /image/1/productType/240x180 HTTP/1.1;200;16901;https://www.zanbil.ir/;"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
917;89.47.79.75;-;-;22/Jan/2019:03:59:10 +0330;GET /image/5935/productType/240x180 HTTP/1.1;200;17326;https://www.zanbil.ir/;"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
918;89.47.79.75;-;-;22/Jan/2019:03:59:10 +0330;GET /image/5506/productType/240x180 HTTP/1.1;200;16837;https://www.zanbil.ir/;"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
919;89.47.79.75;-;-;22/Jan/2019:03:59:10 +0330;GET /image/51/productType/240x180 HTTP/1.1;200;17251;https://www.zanbil.ir/;"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
920;89.47.79.75;-;-;22/Jan/2019:03:59:10 +0330;GET /image/11640/productType/240x180 HTTP/1.1;200;17339;https://www.zanbil.ir/;"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
921;89.47.79.75;-;-;22/Jan/2019:03:59:10 +0330;GET /image/11671/productType/240x180 HTTP/1.1;200;17046;https://www.zanbil.ir/;"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
922;89.47.79.75;-;-;22/Jan/2019:03:59:10 +0330;GET /image/33536/productType/240x180 HTTP/1.1;200;22177;https://www.zanbil.ir/;"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
923;89.47.79.75;-;-;22/Jan/2019:03:59:10 +0330;GET /image/6213/productType/240x180 HTTP/1.1;200;17786;https://www.zanbil.ir/;"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
924;89.47.79.75;-;-;22/Jan/2019:03:59:10 +0330;GET /image/11893/productType/240x180 HTTP/1.1;200;11916;https://www.zanbil.ir/;"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
925;89.47.79.75;-;-;22/Jan/2019:03:59:11 +0330;GET /image/1195/article/100x100 HTTP/1.1;200;12946;https://www.zanbil.ir/;"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
926;89.47.79.75;-;-;22/Jan/2019:03:59:11 +0330;GET /static/images/amp/instagram.png HTTP/1.1;200;7146;https://www.zanbil.ir/;"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
927;89.47.79.75;-;-;22/Jan/2019:03:59:11 +0330;GET /image/1191/article/100x100 HTTP/1.1;200;18870;https://www.zanbil.ir/;"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
928;89.47.79.75;-;-;22/Jan/2019:03:59:11 +0330;GET /image/1194/article/100x100 HTTP/1.1;200;10421;https://www.zanbil.ir/;"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
929;89.47.79.75;-;-;22/Jan/2019:03:59:11 +0330;GET /static/css/font_awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1;200;77171;https://znbl.ir/static/bundle-bundle_site_head.css;"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
930;89.47.79.75;-;-;22/Jan/2019:03:59:11 +0330;GET /static/images/third-party/footer.png HTTP/1.1;200;56076;https://www.zanbil.ir/;"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
931;89.47.79.75;-;-;22/Jan/2019:03:59:11 +0330;GET /image/1193/article/100x100 HTTP/1.1;200;19086;https://www.zanbil.ir/;"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
932;89.47.79.75;-;-;22/Jan/2019:03:59:11 +0330;GET /static/images/amp/blog.png HTTP/1.1;200;3863;https://www.zanbil.ir/;"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
933;89.47.79.75;-;-;22/Jan/2019:03:59:11 +0330;GET /static/images/search-category-arrow.png HTTP/1.1;200;217;https://znbl.ir/static/bundle-bundle_site_head.css;"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
934;89.47.79.75;-;-;22/Jan/2019:03:59:11 +0330;GET /static/images/icons/btn-search.png HTTP/1.1;200;393;https://znbl.ir/static/bundle-bundle_site_head.css;"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
935;89.47.79.75;-;-;22/Jan/2019:03:59:11 +0330;GET /static/images/loading.gif HTTP/1.1;200;7370;https://znbl.ir/static/bundle-bundle_site_head.css;"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
936;89.47.79.75;-;-;22/Jan/2019:03:59:11 +0330;GET /static/images/guarantees/goodShopping.png HTTP/1.1;200;6496;https://www.zanbil.ir/;"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
937;89.47.79.75;-;-;22/Jan/2019:03:59:11 +0330;GET /static/images/guarantees/warranty.png HTTP/1.1;200;5807;https://www.zanbil.ir/;"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
938;89.47.79.75;-;-;22/Jan/2019:03:59:11 +0330;GET /static/images/arrow-right.png HTTP/1.1;200;475;https://znbl.ir/static/bundle-bundle_site_head.css;"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
939;89.47.79.75;-;-;22/Jan/2019:03:59:11 +0330;GET /static/images/arrow-left.png HTTP/1.1;200;474;https://znbl.ir/static/bundle-bundle_site_head.css;"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
940;89.47.79.75;-;-;22/Jan/2019:03:59:11 +0330;GET /static/images/guarantees/fastDelivery.png HTTP/1.1;200;7713;https://www.zanbil.ir/;"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
941;89.47.79.75;-;-;22/Jan/2019:03:59:11 +0330;GET /static/images/guarantees/bestPrice.png HTTP/1.1;200;7356;https://www.zanbil.ir/;"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
942;89.47.79.75;-;-;22/Jan/2019:03:59:11 +0330;GET /static/images/guarantees/support.png HTTP/1.1;200;6454;https://www.zanbil.ir/;"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
943;89.47.79.75;-;-;22/Jan/2019:03:59:11 +0330;GET /static/images/guarantees/pos.png HTTP/1.1;200;6465;https://www.zanbil.ir/;"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
944;89.47.79.75;-;-;22/Jan/2019:03:59:11 +0330;GET /static/images/jcountdown/jcountdown_metal_black.png HTTP/1.1;200;17355;https://znbl.ir/static/bundle-bundle_site_head.css;"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
945;89.47.79.75;-;-;22/Jan/2019:03:59:11 +0330;GET /static/images/tracking-bg.png HTTP/1.1;200;16988;https://www.zanbil.ir/;"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
946;89.47.79.75;-;-;22/Jan/2019:03:59:11 +0330;GET /static/images/zanbil-kharid.png HTTP/1.1;200;358;https://znbl.ir/static/bundle-bundle_site_head.css;"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
947;95.81.118.56;-;-;22/Jan/2019:03:59:11 +0330;GET /image/5/brand HTTP/1.1;200;2171;https://www.zanbil.ir/filter/b1,p62;"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
948;54.36.149.59;-;-;22/Jan/2019:03:59:11 +0330;GET /filter/p6%2Cv1%7C%D8%B3%DB%8C%D9%84%D9%88%D8%B1.%2Cb126 HTTP/1.1;200;33822;-;"Mozilla/5.0 (compatible; AhrefsBot/6.1; +http://ahrefs.com/robot/)"
949;95.81.118.56;-;-;22/Jan/2019:03:59:11 +0330;GET /static/images/loading.gif HTTP/1.1;200;7370;https://www.zanbil.ir/filter/b1,p62;"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
950;66.249.66.194;-;-;22/Jan/2019:03:59:11 +0330;GET /product/6456?model=7491 HTTP/1.1;404;33630;-;"Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
951;95.81.118.56;-;-;22/Jan/2019:03:59:12 +0330;GET /image/1/brand HTTP/1.1;200;3924;https://www.zanbil.ir/filter/b1,p62;"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
952;66.249.66.91;-;-;22/Jan/2019:03:59:12 +0330;GET /filter/b874%2Cb32%2Cb63%2Cb99%2Cb126%2Cb820%2Cb249%2Cb3%2Cb148%2Cb724%2Cb613%2Cb183%2Cb213%2Cb484%2Cb224%2Cb734%2Cb20%2Cb95%2Cb542%2Cb212%2Cb485%2Cb523%2Cb221%2Cb118%2Cb186%2Cb67?page=7 HTTP/1.1;200;39945;-;"Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
953;207.46.13.104;-;-;22/Jan/2019:03:59:12 +0330;GET /blog/home-appliances/beverage-preperation-and-storage/electric-kettle/%d8%af%d9%85%d9%86%d9%88%d8%b4-%d9%87%d8%a7%d9%8a-%d9%85%d9%81%d9%8a%d8%af-%d8%a8%d8%b1%d8%a7%d9%8a-%d8%a8%d9%80%d9%80%d9%8a%d9%80%d9%85%d8%a7%d8%b1%d8%a7%d9%86-%d8%af%d9%8a%d8%a7%d8%a8%d8%aa%db%8c/ HTTP/1.1;200;23065;-;"Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
954;89.47.79.75;-;-;22/Jan/2019:03:59:12 +0330;GET /site/alexaGooleAnalitic HTTP/1.1;200;323;https://www.zanbil.ir/;"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
955;91.99.72.15;-;-;22/Jan/2019:03:59:12 +0330;GET /product/26359/53970/%D9%BE%DB%8C%D8%A7%D9%86%D9%88-%D8%A2%DA%A9%D9%88%D8%B3%D8%AA%DB%8C%DA%A9-%D8%AF%DB%8C%D9%88%D8%A7%D8%B1%DB%8C-YAMAHA-%D9%85%D8%AF%D9%84-M3 HTTP/1.1;200;40657;-;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_3) AppleWebKit/534.55.3 (KHTML, like Gecko) Version/5.1.3 Safari/534.53.10"
956;5.211.97.39;-;-;22/Jan/2019:03:59:12 +0330;HEAD /amp_preconnect_polyfill_404_or_other_error_expected._Do_not_worry_about_it?1548117180000 HTTP/1.1;404;0;https://www.zanbil.ir/m/browse/mixer/%D9%87%D9%85%D8%B2%D9%86;"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1"
957;207.46.13.136;-;-;22/Jan/2019:03:59:12 +0330;GET /filter/b180,b249,b615,b647 HTTP/1.1;200;37202;-;"Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
958;130.185.74.243;-;-;22/Jan/2019:03:59:12 +0330;GET /filter/stexists,p8391,b80?page=10 HTTP/1.1;200;31013;-;"Mozilla/5.0 (Windows NT 6.1; rv:42.0) Gecko/20100101 Firefox/42.0"
959;95.81.118.56;-;-;22/Jan/2019:03:59:13 +0330;GET /image/113/brand HTTP/1.1;200;2287;https://www.zanbil.ir/filter/b1,p62;"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
960;66.249.66.91;-;-;22/Jan/2019:03:59:14 +0330;GET /filter/b874%2Cb32%2Cb63%2Cb99%2Cb126%2Cb820%2Cb249%2Cb3%2Cb148%2Cb724%2Cb613%2Cb183%2Cb213%2Cb484%2Cb224%2Cb734%2Cb20%2Cb95%2Cb542%2Cb212%2Cb485%2Cb523%2Cb221%2Cb118%2Cb186%2Cb67?page=3 HTTP/1.1;200;39796;-;"Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
961;204.18.198.248;-;-;22/Jan/2019:03:59:14 +0330;GET /image/9/productType/120x90 HTTP/1.1;200;11386;https://www.zanbil.ir/m/product/3597/2542/%D8%A2%D8%A8-%D9%BE%D8%B1%D8%AA%D9%82%D8%A7%D9%84-%DA%AF%DB%8C%D8%B1%DB%8C-%D8%AA%D9%81%D8%A7%D9%84-%D9%85%D8%AF%D9%84-8309;"Mozilla/5.0 (iPhone; CPU iPhone OS 12_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1"
962;95.81.118.56;-;-;22/Jan/2019:03:59:15 +0330;GET /image/2/brand HTTP/1.1;200;4842;https://www.zanbil.ir/filter/b1,p62;"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
963;66.249.66.194;-;-;22/Jan/2019:03:59:15 +0330;GET /m/filter/b19,p53 HTTP/1.1;200;18775;-;"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
964;5.115.54.117;-;-;22/Jan/2019:03:59:15 +0330;GET /image/2170/productModel/200x200 HTTP/1.1;200;3889;https://www.zanbil.ir/m/browse/fryer/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86;"Mozilla/5.0 (Android 8.0.0; Mobile; rv:62.0) Gecko/62.0 Firefox/62.0"
965;95.81.118.56;-;-;22/Jan/2019:03:59:15 +0330;GET /image/764/mainSlide HTTP/1.1;200;92964;https://www.zanbil.ir/filter/b1,p62;"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
966;95.81.118.56;-;-;22/Jan/2019:03:59:16 +0330;GET /static/bundle-bundle_site_defer.min.js HTTP/1.1;200;185207;https://www.zanbil.ir/filter/b1,p62;"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
967;66.249.66.194;-;-;22/Jan/2019:03:59:16 +0330;GET /product/1538 HTTP/1.1;404;33630;-;"Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
968;95.81.118.56;-;-;22/Jan/2019:03:59:16 +0330;GET /static/images/exists.png HTTP/1.1;200;2212;https://www.zanbil.ir/filter/b1,p62;"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
969;91.251.165.118;-;-;22/Jan/2019:03:59:17 +0330;GET /static/images/amp/instagram.png HTTP/1.1;200;7146;https://www.zanbil.ir/m/filter/p2597?page=1;"Mozilla/5.0 (iPhone; CPU iPhone OS 12_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1"
970;95.81.118.56;-;-;22/Jan/2019:03:59:17 +0330;GET /static/css/font/wyekan/font.woff HTTP/1.1;200;28536;https://znbl.ir/static/bundle-bundle_site_head.css;"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36"
971;91.251.165.118;-;-;22/Jan/2019:03:59:17 +0330;GET /static/images/amp/blog.png HTTP/1.1;200;3863;https://www.zanbil.ir/m/filter/p2597?page=1;"Mozilla/5.0 (iPhone; CPU iPhone OS 12_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1"
972;91.251.165.118;-;-;22/Jan/2019:03:59:17 +0330;GET /static/images/amp/third-party/footer-mobile.png HTTP/1.1;200;62894;https://www.zanbil.ir/m/filter/p2597?page=1;"Mozilla/5.0 (iPhone; CPU iPhone OS 12_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1"
